we have: 40000 dialogs, batch size of 1 with 1 as remainder to offset batches each epoch
Logging enabled in: test_top1_top2-t_size_40000-v_size_5000-emb_2048-eps_100-dt_12-17-16-19-batch_1.txt
604s:	 epoch: 0	 batch:2104 (5.3%) 	 training error: 2.303679	 speed: 3.5 dialogs/s
607s:	 epoch: 0	 batch:2114 (5.3%) 	 training error: 2.303674	 speed: 3.5 dialogs/s
610s:	 epoch: 0	 batch:2124 (5.3%) 	 training error: 2.303669	 speed: 3.5 dialogs/s

613s:	 epoch: 0	 batch:2134 (5.3%) 	 training error: 2.303664	 speed: 3.5 dialogs/s
616s:	 epoch: 0	 batch:2144 (5.4%) 	 training error: 2.303659	 speed: 3.5 dialogs/s
620s:	 epoch: 0	 batch:2154 (5.4%) 	 training error: 2.303654	 speed: 3.5 dialogs/s
623s:	 epoch: 0	 batch:2164 (5.4%) 	 training error: 2.303649	 speed: 3.5 dialogs/s
626s:	 epoch: 0	 batch:2174 (5.4%) 	 training error: 2.303644	 speed: 3.5 dialogs/s
629s:	 epoch: 0	 batch:2184 (5.5%) 	 training error: 2.303639	 speed: 3.5 dialogs/s
632s:	 epoch: 0	 batch:2194 (5.5%) 	 training error: 2.303634	 speed: 3.5 dialogs/s
635s:	 epoch: 0	 batch:2204 (5.5%) 	 training error: 2.303630	 speed: 3.5 dialogs/s
638s:	 epoch: 0	 batch:2214 (5.5%) 	 training error: 2.303625	 speed: 3.5 dialogs/s
641s:	 epoch: 0	 batch:2224 (5.6%) 	 training error: 2.303620	 speed: 3.5 dialogs/s
644s:	 epoch: 0	 batch:2234 (5.6%) 	 training error: 2.303616	 speed: 3.5 dialogs/s
648s:	 epoch: 0	 batch:2244 (5.6%) 	 training error: 2.303611	 speed: 3.5 dialogs/s
651s:	 epoch: 0	 batch:2253 (5.6%) 	 training error: 2.303607	 speed: 3.5 dialogs/s
654s:	 epoch: 0	 batch:2263 (5.7%) 	 training error: 2.303602	 speed: 3.5 dialogs/s
657s:	 epoch: 0	 batch:2273 (5.7%) 	 training error: 2.303598	 speed: 3.5 dialogs/s
660s:	 epoch: 0	 batch:2283 (5.7%) 	 training error: 2.303594	 speed: 3.5 dialogs/s
663s:	 epoch: 0	 batch:2293 (5.7%) 	 training error: 2.303589	 speed: 3.5 dialogs/s
667s:	 epoch: 0	 batch:2304 (5.8%) 	 training error: 2.303584	 speed: 3.5 dialogs/s
670s:	 epoch: 0	 batch:2314 (5.8%) 	 training error: 2.303580	 speed: 3.5 dialogs/s
673s:	 epoch: 0	 batch:2324 (5.8%) 	 training error: 2.303576	 speed: 3.5 dialogs/s
676s:	 epoch: 0	 batch:2334 (5.8%) 	 training error: 2.303572	 speed: 3.5 dialogs/s
679s:	 epoch: 0	 batch:2344 (5.9%) 	 training error: 2.303567	 speed: 3.5 dialogs/s
682s:	 epoch: 0	 batch:2354 (5.9%) 	 training error: 2.303563	 speed: 3.4 dialogs/s
685s:	 epoch: 0	 batch:2364 (5.9%) 	 training error: 2.303559	 speed: 3.4 dialogs/s
689s:	 epoch: 0	 batch:2374 (5.9%) 	 training error: 2.303555	 speed: 3.4 dialogs/s
692s:	 epoch: 0	 batch:2384 (6.0%) 	 training error: 2.303551	 speed: 3.4 dialogs/s
695s:	 epoch: 0	 batch:2394 (6.0%) 	 training error: 2.303547	 speed: 3.4 dialogs/s
698s:	 epoch: 0	 batch:2404 (6.0%) 	 training error: 2.303543	 speed: 3.4 dialogs/s
701s:	 epoch: 0	 batch:2413 (6.0%) 	 training error: 2.303539	 speed: 3.4 dialogs/s
704s:	 epoch: 0	 batch:2423 (6.1%) 	 training error: 2.303535	 speed: 3.4 dialogs/s
707s:	 epoch: 0	 batch:2433 (6.1%) 	 training error: 2.303531	 speed: 3.4 dialogs/s
711s:	 epoch: 0	 batch:2443 (6.1%) 	 training error: 2.303528	 speed: 3.4 dialogs/s
714s:	 epoch: 0	 batch:2453 (6.1%) 	 training error: 2.303524	 speed: 3.4 dialogs/s
717s:	 epoch: 0	 batch:2463 (6.2%) 	 training error: 2.303520	 speed: 3.4 dialogs/s
720s:	 epoch: 0	 batch:2473 (6.2%) 	 training error: 2.303516	 speed: 3.4 dialogs/s
723s:	 epoch: 0	 batch:2483 (6.2%) 	 training error: 2.303512	 speed: 3.4 dialogs/s
726s:	 epoch: 0	 batch:2493 (6.2%) 	 training error: 2.303509	 speed: 3.4 dialogs/s
730s:	 epoch: 0	 batch:2504 (6.3%) 	 training error: 2.303505	 speed: 3.4 dialogs/s
733s:	 epoch: 0	 batch:2514 (6.3%) 	 training error: 2.303501	 speed: 3.4 dialogs/s
736s:	 epoch: 0	 batch:2524 (6.3%) 	 training error: 2.303497	 speed: 3.4 dialogs/s
739s:	 epoch: 0	 batch:2534 (6.3%) 	 training error: 2.303494	 speed: 3.4 dialogs/s
742s:	 epoch: 0	 batch:2544 (6.4%) 	 training error: 2.303490	 speed: 3.4 dialogs/s
745s:	 epoch: 0	 batch:2554 (6.4%) 	 training error: 2.303487	 speed: 3.4 dialogs/s
748s:	 epoch: 0	 batch:2564 (6.4%) 	 training error: 2.303483	 speed: 3.4 dialogs/s
752s:	 epoch: 0	 batch:2574 (6.4%) 	 training error: 2.303480	 speed: 3.4 dialogs/s
755s:	 epoch: 0	 batch:2584 (6.5%) 	 training error: 2.303476	 speed: 3.4 dialogs/s
758s:	 epoch: 0	 batch:2594 (6.5%) 	 training error: 2.303473	 speed: 3.4 dialogs/s
761s:	 epoch: 0	 batch:2605 (6.5%) 	 training error: 2.303469	 speed: 3.4 dialogs/s
764s:	 epoch: 0	 batch:2615 (6.5%) 	 training error: 2.303466	 speed: 3.4 dialogs/s
767s:	 epoch: 0	 batch:2626 (6.6%) 	 training error: 2.303462	 speed: 3.4 dialogs/s
771s:	 epoch: 0	 batch:2636 (6.6%) 	 training error: 2.303459	 speed: 3.4 dialogs/s
774s:	 epoch: 0	 batch:2646 (6.6%) 	 training error: 2.303455	 speed: 3.4 dialogs/s
777s:	 epoch: 0	 batch:2656 (6.6%) 	 training error: 2.303452	 speed: 3.4 dialogs/s
780s:	 epoch: 0	 batch:2666 (6.7%) 	 training error: 2.303449	 speed: 3.4 dialogs/s
783s:	 epoch: 0	 batch:2676 (6.7%) 	 training error: 2.303445	 speed: 3.4 dialogs/s
787s:	 epoch: 0	 batch:2686 (6.7%) 	 training error: 2.303442	 speed: 3.4 dialogs/s
790s:	 epoch: 0	 batch:2696 (6.7%) 	 training error: 2.303439	 speed: 3.4 dialogs/s
793s:	 epoch: 0	 batch:2705 (6.8%) 	 training error: 2.303436	 speed: 3.4 dialogs/s
796s:	 epoch: 0	 batch:2715 (6.8%) 	 training error: 2.303433	 speed: 3.4 dialogs/s
799s:	 epoch: 0	 batch:2725 (6.8%) 	 training error: 2.303430	 speed: 3.4 dialogs/s
802s:	 epoch: 0	 batch:2735 (6.8%) 	 training error: 2.303427	 speed: 3.4 dialogs/s
805s:	 epoch: 0	 batch:2745 (6.9%) 	 training error: 2.303424	 speed: 3.4 dialogs/s
809s:	 epoch: 0	 batch:2755 (6.9%) 	 training error: 2.303421	 speed: 3.4 dialogs/s
